rule_idx	rule	rule_regex	rule_len	hits	scope	confidence
1677	e -> i / X [+C/V, -syllabic, -stress, -tap, -trill, -spread gl, -constr gl, -round] __ [-C/V, +syllabic, -stress, -consonantal, +sonorant, +continuant, +approximant, -tap, -trill, -nasal, +voice, -spread gl, -constr gl, -LABIAL, -round, -labiodental, -CORONAL, -lateral, +DORSAL, +high, -low, +front, -back, -tense] X	e -> i / (ɫ|ŋ|n|m|k|ɡ|z|v|t|ʃ|s|p|f|d|b|θ|ð|β|d͡ʒ|t͡ʃ|j|ɹ) __ (ɪ)	317	23.0	23.0	0.9753808605363672
352	æ -> a / X __ [+C/V, -syllabic, -stress, -tap, -trill, -spread gl, -constr gl, -round, -labiodental, -lateral] X	æ -> a /  __ (ŋ|n|m|k|ɡ|z|t|ʃ|s|p|d|b|θ|ð|β|d͡ʒ|t͡ʃ|j|ɹ)	112	19.0	19.0	0.9704351819646336
2530	ɹ̩ -> ɹ / X [-stress, -tap, -trill, -spread gl, -constr gl, -labiodental] __ X	ɹ̩ -> ɹ / (ɒ|ɑ|a|æ|ɔ|o|ə|e|ɛ|ɯ|u|ʊ|i|ʏ|ɪ|ɫ|ŋ|n|m|k|ɡ|z|t|ʃ|s|p|d|b|θ|ð|β|d͡ʒ|t͡ʃ|w|j|ɹ|ɹ̩) __ 	78	18.0	18.0	0.968871728934474
1048	∅ -> ə / [+begin/end] __ [+C/V, -syllabic, -stress, +consonantal, -sonorant, +continuant, +delayed release, -approximant, -tap, -trill, -nasal, -voice, -spread gl, -constr gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, +strident, -lateral, -DORSAL] [+C/V, -syllabic, -stress, +consonantal, -sonorant, -continuant, -delayed release, -approximant, -tap, -trill, -nasal, -voice, -spread gl, -constr gl, -round, -labiodental, -lateral] X	∅ -> ə / (⋊) __ (s) (k|t|p)	456	18.0	18.0	0.968871728934474
873	k -> ʔ / [+begin/end] __ [-C/V, +syllabic, -stress, -consonantal, +sonorant, +continuant, +approximant, -tap, -trill, -nasal, +voice, -spread gl, -constr gl, -labiodental, -lateral] X	k -> ʔ / (⋊) __ (ɒ|ɑ|a|æ|ɔ|o|ə|e|ɛ|ɯ|u|ʊ|i|ʏ|ɪ|ɹ̩)	183	16.0	16.0	0.9651897716445832
861	d -> t / X [-stress, +sonorant, -tap, -trill, +voice, -spread gl, -constr gl, -labiodental, -lateral] __ [-begin/end]	d -> t / (ɒ|ɑ|a|æ|ɔ|o|ə|e|ɛ|ɯ|u|ʊ|i|ʏ|ɪ|ŋ|n|m|w|j|ɹ|ɹ̩) __ (⋉)	117	15.0	15.0	0.9630014039207851
2456	p -> ʔ / [+begin/end] __ [-C/V, +syllabic, -stress, -consonantal, +sonorant, +continuant, +approximant, -tap, -trill, -nasal, +voice, -spread gl, -constr gl, -LABIAL, -round, -labiodental, -CORONAL, -lateral, +DORSAL] X	p -> ʔ / (⋊) __ (ɑ|a|æ|ə|e|ɛ|ɯ|i|ɪ)	219	11.0	11.0	0.9505677122585596
939	o -> ʊ / X [+C/V, -syllabic, -stress, -tap, -trill, -spread gl, -constr gl, -round, -labiodental, -lateral] __ [-C/V, +syllabic, -stress, -consonantal, +sonorant, +continuant, +approximant, -tap, -trill, -nasal, +voice, -spread gl, -constr gl, +LABIAL, +round, -labiodental, -CORONAL, -lateral, +DORSAL, +high, -low, -front, +back, -tense] X	o -> ʊ / (ŋ|n|m|k|ɡ|z|t|ʃ|s|p|d|b|θ|ð|β|d͡ʒ|t͡ʃ|j|ɹ) __ (ʊ)	341	10.0	10.0	0.9460315775665372
3013	a -> ɒ / X [+C/V, -syllabic, -stress, -tap, -trill, -constr gl, -round] __ [-C/V, +syllabic, -stress, -consonantal, +sonorant, +continuant, +approximant, -tap, -trill, -nasal, +voice, -spread gl, -constr gl, +LABIAL, +round, -labiodental, -CORONAL, -lateral, +DORSAL, +high, -low, -front, +back, -tense] X	a -> ɒ / (ɫ|ŋ|n|m|k|ɡ|z|v|t|ʃ|s|p|f|d|b|θ|ð|β|d͡ʒ|t͡ʃ|j|ɹ|h) __ (ʊ)	305	8.0	8.0	0.93389262459484
2908	t -> ʔ / [+begin/end] __ [-C/V, +syllabic, -stress, -consonantal, +sonorant, +continuant, +approximant, -tap, -trill, -nasal, +voice, -spread gl, -constr gl, -labiodental, -CORONAL, -lateral, +DORSAL] X	t -> ʔ / (⋊) __ (ɒ|ɑ|a|æ|ɔ|o|ə|e|ɛ|ɯ|u|ʊ|i|ʏ|ɪ)	202	7.0	7.0	0.9255078056777428
