rule_idx	rule	rule_regex	rule_len	hits	scope	confidence
0	æ -> a / X [+C/V, -syllabic, -stress, -tap, -trill, -constr gl, -round, -labiodental, -lateral] __ [+C/V, -syllabic, -stress, +consonantal, -continuant, -approximant, -tap, -trill, -spread gl, -constr gl, -round, -labiodental, -lateral] X	æ -> a / (ŋ|n|m|k|ɡ|z|t|ʃ|s|p|d|b|θ|ð|d͡ʒ|t͡ʃ|j|ɹ|h) __ (ŋ|n|m|k|ɡ|t|p|d|b|d͡ʒ|t͡ʃ)	238	12.0	12.0	0.9543996414282906
1	æ -> a / X [+C/V, -syllabic, -stress, +consonantal, -tap, -trill, -nasal, -spread gl, -constr gl, -round, -labiodental] __ [+C/V, -syllabic, -stress, +consonantal, -approximant, -tap, -trill, -spread gl, -constr gl, -LABIAL, -round, -labiodental, -lateral] X	æ -> a / (ɫ|k|ɡ|z|t|ʃ|s|p|d|b|θ|ð|d͡ʒ|t͡ʃ) __ (ŋ|n|k|ɡ|z|t|ʃ|s|d|θ|ð|d͡ʒ|t͡ʃ)	258	6.0	6.0	0.9146745292843932
2	æ -> a / X __ [+C/V, -syllabic, -stress, +consonantal, -approximant, -tap, -trill, -spread gl, -constr gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -strident, -lateral, -DORSAL] X	æ -> a /  __ (n|t|d|θ|ð)	190	8.0	8.0	0.9338926245948401
3	æ -> a / X [+C/V, -syllabic, -stress, -tap, -trill, -nasal, +voice, -spread gl, -constr gl, -round, -labiodental, -lateral, -DORSAL] __ [+C/V, -syllabic, -stress, +consonantal, -approximant, -tap, -trill, -spread gl, -constr gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -strident, -lateral, -DORSAL] X	æ -> a / (z|d|b|ð|d͡ʒ|ɹ) __ (n|t|d|θ|ð)	312	4.0	4.0	0.8795102700976709
4	æ -> a / [+begin/end] [+C/V, -syllabic, -stress, +consonantal, -sonorant, -continuant, -delayed release, -approximant, -tap, -trill, -nasal, -voice, -spread gl, -constr gl, -LABIAL, -round, -labiodental, -CORONAL, -lateral, +DORSAL, +high, -low] __ [+C/V, -syllabic, -stress, -tap, -trill, -spread gl, -constr gl, -round, -labiodental, -lateral, -DORSAL] X	æ -> a / (⋊) (k) __ (n|m|z|t|ʃ|s|p|d|b|θ|ð|d͡ʒ|t͡ʃ|ɹ)	356	3.0	3.0	0.8478608772434439
5	æ -> a / X __ [+C/V, -syllabic, -stress, +consonantal, -continuant, -approximant, -tap, -trill, -spread gl, -constr gl, -LABIAL, -round, -labiodental, -lateral] X	æ -> a /  __ (ŋ|n|k|ɡ|t|d|d͡ʒ|t͡ʃ)	162	11.0	11.0	0.9505677122585596
6	æ -> a / X [+C/V, -syllabic, -stress, -tap, -trill, -nasal, +voice, -spread gl, -constr gl, -round, -labiodental, -lateral, -DORSAL] __ [+C/V, -syllabic, -stress, +consonantal, -continuant, -approximant, -tap, -trill, -spread gl, -constr gl, -LABIAL, -round, -labiodental, -lateral] X	æ -> a / (z|d|b|ð|d͡ʒ|ɹ) __ (ŋ|n|k|ɡ|t|d|d͡ʒ|t͡ʃ)	284	4.0	4.0	0.8795102700976709
7	æ -> a / X [+C/V, -syllabic, -stress, -sonorant, -approximant, -tap, -trill, -nasal, -constr gl, -round, -labiodental, -CORONAL, -lateral] __ [+C/V, -syllabic, -stress, +consonantal, -approximant, -tap, -trill, -spread gl, -constr gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, -lateral, -DORSAL] X	æ -> a / (k|ɡ|p|b|h) __ (n|z|t|s|d)	321	5.0	5.0	0.900124790564984
8	æ -> a / X [+C/V, -syllabic, -stress, -tap, -trill, -nasal, +voice, -spread gl, -constr gl, -round, -labiodental] __ [+C/V, -syllabic, -stress, +consonantal, -continuant, -approximant, -tap, -trill, +voice, -spread gl, -constr gl, -LABIAL, -round, -labiodental, -lateral] X	æ -> a / (ɫ|ɡ|z|d|b|ð|d͡ʒ|j|ɹ) __ (ŋ|n|ɡ|d|d͡ʒ)	273	4.0	4.0	0.8795102700976709
9	æ -> a / X [+C/V, -syllabic, -stress, -tap, -trill, -nasal, -spread gl, -constr gl, -round, -labiodental, -lateral] __ [+C/V, -syllabic, -stress, +consonantal, -continuant, -approximant, -tap, -trill, -spread gl, -constr gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, -strident, -lateral, -DORSAL] X	æ -> a / (k|ɡ|z|t|ʃ|s|p|d|b|θ|ð|d͡ʒ|t͡ʃ|j|ɹ) __ (n|t|d)	322	4.0	4.0	0.8795102700976709
10	æ -> a / X __ [+C/V, -syllabic, -stress, +consonantal, -approximant, -tap, -trill, -spread gl, -constr gl, -round, -labiodental, -lateral] X	æ -> a /  __ (ŋ|n|m|k|ɡ|z|t|ʃ|s|p|d|b|θ|ð|d͡ʒ|t͡ʃ)	140	18.0	18.0	0.968871728934474
11	æ -> a / X [+C/V, -syllabic, -stress, -sonorant, -approximant, -tap, -trill, -nasal, -voice, -constr gl, -LABIAL, -round, -labiodental, -lateral] __ [+C/V, -syllabic, -stress, +consonantal, +sonorant, -continuant, -approximant, -tap, -trill, +nasal, +voice, -spread gl, -constr gl, -round, -labiodental, -lateral, -DORSAL] X	æ -> a / (k|t|ʃ|s|θ|t͡ʃ|h) __ (n|m)	324	4.0	4.0	0.8795102700976709
12	æ -> a / X [+C/V, -syllabic, -stress, -tap, -trill, -nasal, -spread gl, -constr gl, -LABIAL, -round, -labiodental] __ [+C/V, -syllabic, -stress, +consonantal, -continuant, -approximant, -tap, -trill, -spread gl, -constr gl, -LABIAL, -round, -labiodental, -lateral] X	æ -> a / (ɫ|k|ɡ|z|t|ʃ|s|d|θ|ð|d͡ʒ|t͡ʃ|j|ɹ) __ (ŋ|n|k|ɡ|t|d|d͡ʒ|t͡ʃ)	266	4.0	4.0	0.8795102700976709
