ʃ i p	ʃ i p
h ɑ ɹ t	h ɑ - t
b æ n d	b a n t
ɔ f ɪ s	ʊ - ɪ s
k o ʊ m	ʔ ʊ ʊ m
- s t ɪ k	ə s t ɪ k
h ʊ k	h ʊ k
θ ɹ o ʊ t	θ ɹ ʊ ʊ t
b ɔ ɫ	b ɔ ɫ
b i	b i
b ɫ e ɪ d	b ɫ i ɪ t
ɫ ɑ k	ɫ ɑ k
p ə m p	ʔ ə m p
b ə k ə t	b ə ɡ ə t
ʃ u	ʃ u
- s t ɛ m	ə s t ɛ m
f ɪ ŋ ɡ ɹ̩	f ɪ ŋ ɡ ɹ
- s k ɹ̩ t	ə s k ɹ t
- s k u ɫ	ə s k u ɫ
w ɪ ŋ	w ɪ ŋ
d ɹ ɔ ɹ	d ɹ ɔ ɹ
m u n	m u n
f ɫ æ ɡ	f ɫ a k
n o ʊ z	n ʊ ʊ s
p ɪ k t͡ʃ ɹ̩	ʔ ɪ k t͡ʃ ɹ
s ɑ k	s ɑ k
h ɔ ɹ s	h ɔ - s
f e ɪ s	f i ɪ s
b ɔ ɪ	b ʏ ɪ
ɹ æ t	ɹ a t
ɡ o ʊ t	ɡ ʊ ʊ t
s i d	s i t
ɑ ɹ m	ɑ - m
d ɔ ɹ	d ɔ ɹ
h ɑ s p ɪ t ə ɫ	h ɑ s p ɪ d ə ɫ
ʃ ɛ ɫ f	ʃ ɛ - f
t e ɪ ɫ	ʔ i ɪ ɫ
f ʊ t	f ʊ t
s ɹ̩ k ə ɫ	s ɹ ɡ ə ɫ
h æ n d	h a n t
f ɪ ʃ	f ɪ ʃ
h w i ɫ	- w i ɫ
- s p e ɪ d	ə s p i ɪ t
æ p ə ɫ	a b ə ɫ
f ɑ ɹ m	f ɑ - m
d ɹ ɛ s	d ɹ ɛ s
t ɹ a ʊ z ɹ̩ z	t ɹ ɒ ʊ z ɹ s
s ə n	s ə n
t ɹ i	t ɹ i
k a ʊ	ʔ ɒ ʊ
ɫ a ɪ n	ɫ a ɪ n
p ɑ ɹ s ə ɫ	ʔ ɑ - - ə ɫ
w ɔ ɫ	w ɔ ɫ
b ɹ̩ d	b ɹ t
h ɔ ɹ n	h ɔ - n
k æ t	ʔ a t
d ɔ ɡ	d ɔ k
- s k ɹ u	ə s k ɹ u
t ə ŋ	ʔ ə ŋ
ɹ e ɪ ɫ	ɹ i ɪ ɫ
h æ m ɹ̩	h a m ɹ
- s p ə n d͡ʒ	ə s p ə n t͡ʃ
p ɑ t	ʔ ɑ t
ɫ ɛ ɡ	ɫ ɛ k
ɡ ɫ ə v	ɡ ɫ ə f
t e ɪ b ə ɫ	ʔ i ɪ β ə ɫ
w ɪ n d o ʊ	w ɪ n d ʊ ʊ
b ɛ ɹ i	b ɛ j i
ɛ n d͡ʒ ə n	ɛ n d͡ʒ ə n
i ɹ	i ɹ
- s t ə m ə k	ə s t ə m ə k
p ə t e ɪ t o ʊ	ʔ ə d i ɪ d ʊ ʊ
- s t ɔ ɹ	ə s t ɔ ɹ
b ɛ ɫ	b ɛ ɫ
h ɛ d	h ɛ t
f ɛ ð ɹ̩	f ɛ ð ɹ
θ ə m	θ ə m
æ ŋ ɡ ə ɫ	a ŋ ɡ ə ɫ
ɫ ɪ p	ɫ ɪ p
ɡ ɑ ɹ d ə n	ɡ ɑ j - ə n
ɑ ɹ m i	ɑ - m i
æ n t	a n t
ɑ ɹ t͡ʃ	ɑ - t͡ʃ
h a ʊ s	h ɒ ʊ s
ɹ u f	ɹ u f
b ɑ t ə ɫ	b ɑ d ə ɫ
f ɫ a ɪ	f ɫ a ɪ
h ɛ ɹ	h ɛ ɹ
b o ʊ n	b ʊ ʊ n
b ɹ æ n t͡ʃ	b ɹ a n t͡ʃ
- s k ɪ n	ə s k ɪ n
ə m b ɹ ɛ ɫ ə	ə m b ɹ ɛ j ə
ɡ ə n	ɡ ə n
ɛ ɡ	ɛ k
n ɛ t	n ɛ t
b ɔ ɹ d	b ɔ - t
- s p u n	ə s p u n
t u θ	ʔ u θ
t a ʊ n	ʔ ɒ ʊ n
p ɛ n s ə ɫ	ʔ ɛ n s ə ɫ
n ə t	n ə t
b ə t ə n	b ə d ə n
t ɹ e ɪ	t ɹ i ɪ
m ə s ə ɫ	m ə - ə ɫ
p ɹ ɪ z ə n	p ɹ ɪ z ə n
t o ʊ	ʔ ʊ ʊ
ɹ u t	ɹ u t
d ɹ ɑ p	d ɹ ɑ p
t ɪ k ə t	ʔ ɪ ɡ ə t
t͡ʃ e ɪ n	t͡ʃ i ɪ n
ʃ ɹ̩ t	ʃ ɹ t
ɡ ɹ̩ ɫ	ɡ ɹ ɫ
ɫ i f	ɫ i f
k ɫ ɑ k	k ɫ ɑ k
p ɪ n	ʔ ɪ n
k ɹ̩ t ə n	ʔ ɹ d ə n
a ɪ	a ɪ
ɔ ɹ ə n d͡ʒ	ɔ j ə n t͡ʃ
n e ɪ ɫ	n i ɪ ɫ
b e ɪ b i	b i ɪ β i
a ɪ ɫ ə n d	a ɪ j ə n t
b ə ɫ b	b ə - p
k i	ʔ i
t͡ʃ ɹ̩ t͡ʃ	t͡ʃ ɹ t͡ʃ
d͡ʒ u ə ɫ	d͡ʒ u ə ɫ
b o ʊ t	b ʊ ʊ t
f ɫ ɔ ɹ	f ɫ ɔ ɹ
n i d ə ɫ	n i z ə ɫ
n ɹ̩ v	n ɹ f
- s p ɹ ɪ ŋ	ə s p ɹ ɪ ŋ
ɹ i s i t	ɹ i - i t
b ɑ k s	b ɑ k s
n a ɪ f	n a ɪ f
θ ɹ ɛ d	θ ɹ ɛ t
k ɑ ɹ d	ʔ ɑ - t
k ɫ a ʊ d	k ɫ ɒ ʊ t
p ɑ k ə t	ʔ ɑ ɡ ə t
b æ θ	b a θ
n i	n i
n ɛ k	n ɛ k
h æ t	h a t
k æ ɹ ɪ d͡ʒ	ʔ a j ɪ t͡ʃ
b ɹ e ɪ n	b ɹ i ɪ n
w ɹ̩ m	w ɹ m
h w ɪ s ə ɫ	- w ɯ - ə ɫ
b ɛ d	b ɛ t
s e ɪ ɫ	s i ɪ ɫ
h w ɪ p	- w ɪ p
t͡ʃ ɛ s t	t͡ʃ ɛ s t
k ɑ ɫ ɹ̩	ʔ ɑ j ɹ
b ʊ k	b ʊ k
f ɔ ɹ k	f ɔ - k
f ɹ e ɪ m	f ɹ i ɪ m
k ɛ t ə ɫ	ʔ ɛ d ə ɫ
- s t ɑ k ɪ ŋ	ə s t ɑ ɡ ɪ ŋ
k æ m ɹ̩ ə	ʔ a m ɹ ə
p ɫ a ʊ	p ɫ ɒ ʊ
b u t	b u t
k o ʊ t	ʔ ʊ ʊ t
- s t ɑ ɹ	ə s t ɑ ɹ
n ɑ t	n ɑ t
b ɹ e ɪ k	b ɹ i ɪ k
b æ ɡ	b a k
k ɑ ɹ t	ʔ ɑ - t
f a ʊ ɫ	f ɒ ʊ ɫ
b ɹ ɪ k	b ɹ ɪ k
ə v ə n	ə v ə n
ɹ ɪ ŋ	ɹ ɪ ŋ
m ə ŋ k i	m ə ŋ k i
t͡ʃ ɪ n	t͡ʃ ɪ n
ʃ ɪ p	ʃ ɪ p
p ɫ e ɪ n	p ɫ i ɪ n
p ɪ ɡ	ʔ ɪ k
